nivel;texto;tipo;index
0;"[gtranslate]";ITEM;0
0;"Procurar";ITEM;1
0;"DECRETO PRESIDENCIAL Nº271/20
REGISTO E CERTIFICAÇÃO DE EMPRESAS PARA O SECTOR PETROLÍFERO EM ANGOLA
VER MAIS";ITEM;2
0;"DECRETO PRESIDENCIAL Nº271/20";ITEM;3
0;"REGISTO E CERTIFICAÇÃO DE EMPRESAS PARA O SECTOR PETROLÍFERO EM ANGOLA";ITEM;4
0;"VER MAIS";ITEM;5
0;"Introdução
Regimes de Contratação
Ciclo de Contratação
Lista de Bens e Serviços
Instrutivo
Manual
Registo de Fornecedor";ITEM;6
0;"INTRODUÇÃO";ITEM;7
0;"2534
Empresas Registadas
1054
Empresas Visitadas
1199
Empresas Certificadas";ITEM;8
0;"2534
Empresas Registadas";ITEM;9
0;"2534";ITEM;10
0;"Empresas Registadas";ITEM;11
0;"1054
Empresas Visitadas";ITEM;12
0;"1054";ITEM;13
0;"Empresas Visitadas";ITEM;14
0;"1199
Empresas Certificadas";ITEM;15
0;"1199";ITEM;16
0;"Empresas Certificadas";ITEM;17
0;"A nossa História";ITEM;18
0;"Responsabilidade Social";ITEM;19
0;"Contactos";ITEM;20
0;"Oportunidades
Licitações 2025
Oferta Permanente
Conferência de Dados 2021
Conferência de Dados 2023";ITEM;21
0;"Oportunidades";ITEM;22
0;"Licitações 2025
Oferta Permanente
Conferência de Dados 2021
Conferência de Dados 2023";ITEM;23
0;"Licitações 2025";ITEM;24
0;"Oferta Permanente";ITEM;25
0;"Conferência de Dados 2021";ITEM;26
0;"Conferência de Dados 2023";ITEM;27
0;"Dados E & P
Plataforma IONA
OASIS - Banco de Imagens
Pacotes de DADOS
Mapas E&P";ITEM;28
0;"Dados E & P";ITEM;29
0;"Plataforma IONA
OASIS - Banco de Imagens
Pacotes de DADOS
Mapas E&P";ITEM;30
0;"Plataforma IONA";ITEM;31
0;"OASIS - Banco de Imagens";ITEM;32
0;"Pacotes de DADOS";ITEM;33
0;"Mapas E&P";ITEM;34
0;"Média
Notícias
Boletim Informativo
Vídeos
Recorte de Imprensa";ITEM;35
0;"Média";ITEM;36
0;"Notícias
Boletim Informativo
Vídeos
Recorte de Imprensa";ITEM;37
0;"Notícias";ITEM;38
0;"Boletim Informativo";ITEM;39
0;"Vídeos";ITEM;40
0;"Recorte de Imprensa";ITEM;41
0;"Links Rápidos
Produção
Conteúdo local
Código de Conduta e Ética
Canal de Denúncia";ITEM;42
0;"Links Rápidos";ITEM;43
0;"Produção
Conteúdo local
Código de Conduta e Ética
Canal de Denúncia";ITEM;44
0;"Produção";ITEM;45
0;"Conteúdo local";ITEM;46
0;"Código de Conduta e Ética";ITEM;47
0;"Canal de Denúncia";ITEM;48
0;"Subscrever a nossa newsletter:
Subscrever";ITEM;49
0;"Subscrever a nossa newsletter:";ITEM;50
0;"Subscrever";ITEM;51
0;"© Copyright 2026 - Todos os direitos reservados";ITEM;52